OBJECTID,COUNTY_NAME,COUNTY_NAME_SHORT,COUNTY_ABBREV,COUNTY_CODE,COUNTY_NUM,COUNTY_FIPS,ISLAND,GlobalID,Shape__Area,Shape__Length
1,Alameda County,Alameda,ALA,01,1,001,N/A,b2807ff3-346d-414e-b093-4b37b21d7e53,3391910315.98828,311425.009323215
2,Alpine County,Alpine,ALP,02,2,003,N/A,13f67171-d8b9-4050-935e-5c1f09215b6f,3156930536.74219,276002.709772741
3,Amador County,Amador,AMA,03,3,005,N/A,df5b4963-c712-497e-aad3-31174fd59df6,2562768824.20313,361490.204016273
4,Butte County,Butte,BUT,04,4,007,N/A,6224776a-2f5f-4014-8504-b59a9caabeac,7343046512.83984,523969.015367865
5,Calaveras County,Calaveras,CAL,05,5,009,N/A,169e15cc-ae81-4253-983a-b529e5aef34c,4350481554.94922,370080.929407237
6,Colusa County,Colusa,COL,06,6,011,N/A,71e50b3a-7f5f-4e42-8830-6063ce7b4681,4992402057.37891,385524.696427092
7,Contra Costa County,Contra Costa,CCA,07,7,013,N/A,389cd83d-49bb-4124-8649-b523ba68d50e,3362419173.17969,322714.466351421
8,Del Norte County,Del Norte,DNE,08,8,015,N/A,c855606b-2afe-480f-a367-5c17d344a98a,4724542328.69141,385363.323840454
9,El Dorado County,El Dorado,EDO,09,9,017,N/A,b5a99bb7-1299-476a-811f-9742e9c5ed58,7634799619.62109,472467.643304236
10,Fresno County,Fresno,FRE,10,10,019,N/A,5cb6327d-2561-4ece-95af-a2ec8426a956,24303464520.9727,1114692.48689293
11,Glenn County,Glenn,GLE,11,11,021,N/A,afbaefe1-e9fc-40e9-8e58-c93eef548e46,5791735976.02734,391547.649251092
12,Humboldt County,Humboldt,HUM,12,12,023,N/A,eaa96b5b-6a6b-43e1-9aae-f24f374923cc,16294335350.4648,674118.694510441
13,Imperial County,Imperial,IMP,13,13,025,N/A,d0a19507-4ce1-4930-9ffb-274814ceddc7,16563971427.8125,593427.613191135
14,Inyo County,Inyo,INY,14,14,027,N/A,e4a1dd29-2391-4c87-8a16-6aa2d1698fff,41093717358.793,1069208.09470531
15,Kern County,Kern,KER,15,15,029,N/A,5dca9aac-6d3a-4f39-b412-89405690e4f9,31855975187.8203,861806.211995775
16,Kings County,Kings,KIN,16,16,031,N/A,7bf0142c-5765-43bf-93d2-5391f6cdec21,5529259225.9375,354965.787561343
17,Lake County,Lake,LAK,17,17,033,N/A,43b774c7-0ae4-41e1-8a71-155ed6e8e3fa,5718672158.49219,467807.361915496
18,Lassen County,Lassen,LAS,18,18,035,N/A,287c88b9-5c63-4e32-85f2-4e977fda9619,21280632480.3047,776678.515643243
19,Los Angeles County,Los Angeles,LAC,19,19,037,Channel Islands,83b3b81d-35b8-415f-a94f-929864b667a1,485361723.703125,276470.84862978
20,Los Angeles County,Los Angeles,LAC,19,19,037,N/A,55bdf8a0-1de0-4e33-ab0c-b9c7692277d2,15078220699.3242,672501.776434452
21,Madera County,Madera,MAD,20,20,039,N/A,fec021a0-9216-4839-8e8b-62c42c1e0179,8806667387.52734,603340.303087646
22,Marin County,Marin,MRN,21,21,041,N/A,0d4ad1f5-b36e-4c99-8a87-59a8cfde542c,2499090272.76563,381583.007899548
23,Mariposa County,Mariposa,MPA,22,22,043,N/A,a82af8bd-e0fb-4be6-b46f-1f9d97314700,6039428652.84766,436548.476027289
24,Mendocino County,Mendocino,MEN,23,23,045,N/A,93f85b90-4378-4b49-b2fe-de99391675f0,15276502528.4883,796827.065919535
25,Merced County,Merced,MER,24,24,047,N/A,a2a01d70-a273-4240-aba5-33f77d5f5ac1,8086893034.5625,434422.332613017
26,Modoc County,Modoc,MOD,25,25,049,N/A,6b619613-2008-4e0b-8c52-90fadb336e22,19475260187.707,566315.221758302
27,Mono County,Mono,MNO,26,26,051,N/A,984db79b-9c72-4654-ab23-ae56c2b3c8a5,13058699900.5391,700809.510960177
28,Monterey County,Monterey,MON,27,27,053,N/A,67f17468-0aae-40d2-abe1-e268563058f2,13213958594.5625,830060.838888042
