OBJECTID,SRA,FHSZ,FHSZ_Description,Shape__Area,Shape__Length
1,LRA,-3,NonWildland,156847.483169556,2781.7590858411
2,LRA,-3,NonWildland,175893.396377563,2327.04546648569
3,LRA,-3,NonWildland,8974583.31697083,29612.6106789246
4,LRA,-3,NonWildland,229500,2639.99999999814
5,LRA,-3,NonWildland,1.05073547363281,56.9032528596464
6,LRA,-3,NonWildland,1560.92150878906,301.071137637076
7,LRA,-3,NonWildland,96300.0000915527,2100.00000001304
8,LRA,-3,NonWildland,114124.97795105,3298.91805599253
9,LRA,-3,NonWildland,293651.273544312,3383.85578922907
10,LRA,-3,NonWildland,2577.43341064453,229.998271409077
11,LRA,-3,NonWildland,304.898559570313,86.2947364748687
12,LRA,-3,NonWildland,2007.66879272461,193.793706719398
13,LRA,-3,NonWildland,2382.31390380859,216.570014883864
14,LRA,-3,NonWildland,629.858612060547,107.253727392303
15,LRA,-3,NonWildland,220.708587646484,66.1675553591291
16,LRA,-3,NonWildland,158874.912033081,2330.64026515947
17,LRA,-3,NonWildland,274963.998565674,3548.50671270065
18,LRA,-3,NonWildland,20533.7053527832,606.526011862662
19,LRA,-3,NonWildland,51311.7149505615,1683.91286058011
20,LRA,-3,NonWildland,318785.5262146,7662.31356546993
21,LRA,-3,NonWildland,2149692.56446838,12146.1685427611
22,LRA,-3,NonWildland,1522470.45465088,12321.4031483159
23,LRA,-3,NonWildland,113402.022171021,2144.53564868698
24,LRA,-3,NonWildland,168.191375732422,57.5788432789467
25,LRA,-3,NonWildland,1114731.14198303,5287.47566065696
26,LRA,-3,NonWildland,157086.348007202,2374.28259571912
27,LRA,-3,NonWildland,1007435.00061035,4720.97181871863
28,LRA,-3,NonWildland,590130.932922363,4999.3856732886
29,LRA,-3,NonWildland,823.150482177734,700.923519526667
30,LRA,-3,NonWildland,1882807.6235199,10873.8835408125
31,LRA,-3,NonWildland,41777.7676391602,1115.93405458037
32,LRA,-3,NonWildland,90947.9239501953,1587.39835740193
33,LRA,-3,NonWildland,157504.919723511,2835.25345135068
34,LRA,-3,NonWildland,1704591.63166809,9357.63673998016
35,LRA,-3,NonWildland,2154599.99993896,11700.0000000186
36,LRA,-3,NonWildland,1037071.2281189,8846.86412319985
37,LRA,-3,NonWildland,5586270.57171631,15196.9750795672
38,LRA,-3,NonWildland,492784842.593781,567299.536153516
39,LRA,-3,NonWildland,1280700,5519.99999999814
40,LRA,-3,NonWildland,7694711.89685059,25448.1795191607
41,LRA,-3,NonWildland,407935.550704956,3579.61176827577
42,LRA,-3,NonWildland,681300,5220.00000001676
43,LRA,-3,NonWildland,17117760.0340271,36169.2663500922
44,LRA,-3,NonWildland,1839600,12900.0000000075
45,LRA,-3,NonWildland,60525.1695251465,1406.14658693372
46,LRA,-3,NonWildland,3101082.43395996,13707.6878271487
47,LRA,-3,NonWildland,1158299.99993896,7140.00000000559
48,LRA,-3,NonWildland,5742098.40266418,20291.1671175788
49,LRA,-3,NonWildland,838800,6479.99999999627
50,LRA,-3,NonWildland,9552013.13240051,24320.288817005
51,LRA,-3,NonWildland,16371486.8275299,51261.9059381575
52,LRA,-3,NonWildland,927900.000091553,7020.00000001304
53,LRA,-3,NonWildland,99538.6591186523,1515.39470473458
54,LRA,-3,NonWildland,3221100.00015259,14100.0000000205
55,LRA,-3,NonWildland,218773.587554932,2300.83546617775
56,LRA,-3,NonWildland,2671608.04917908,6540.52375563924
57,LRA,-3,NonWildland,986805.212020874,5866.73024819355
58,LRA,-3,NonWildland,417600,4019.99999999814
59,LRA,-3,NonWildland,586800.000213623,4979.99999999441
60,LRA,-3,NonWildland,210665.022399902,3962.86738199774
61,LRA,-3,NonWildland,4688100.00006104,15539.9999999944
62,LRA,-3,NonWildland,120600,1799.99999999814
63,LRA,-3,NonWildland,105990.877593994,1721.59557593704
64,LRA,-3,NonWildland,1050082.42498779,8911.87076964254
65,LRA,-3,NonWildland,944100,5939.99999999069
66,LRA,-3,NonWildland,227700,3420.00000000745
67,LRA,-3,NonWildland,164625.949905396,1622.6939761249
68,LRA,-3,NonWildland,2691900,15120.0000000019
69,LRA,-3,NonWildland,6629399.99996948,21419.9999999851
70,LRA,-3,NonWildland,424504.920196533,5261.59077161288
71,LRA,-3,NonWildland,1060600.102005,9497.38702360385
72,LRA,-3,NonWildland,120599.999969482,2040.00000000559
73,LRA,-3,NonWildland,23399.7345275879,887.067473391416
74,LRA,-3,NonWildland,50010987.0762024,127927.88916829
75,LRA,-3,NonWildland,472079.050994873,3982.47415777707
76,LRA,-3,NonWildland,1549790.89472961,9158.56785388085
77,LRA,-3,NonWildland,542030.426956177,4383.67695148179
78,LRA,-3,NonWildland,88490.4007415771,1657.08970235161
79,LRA,-3,NonWildland,2471400,14219.9999999627
80,LRA,-3,NonWildland,271800,3179.99999999255
81,LRA,-3,NonWildland,1693789.06582642,7646.24884123791
82,LRA,-3,NonWildland,25793099.9994202,76260.0000000279
