OBJECTID,Year,State,Agency,Unit ID,Fire Name,Local Incident Number,Alarm Date,Containment Date,Cause,Collection Method,Management Objective,GIS Calculated Acres,Comments,Complex Name,IRWIN ID,Fire Number (historical use),Complex ID,DECADES,Shape__Area,Shape__Length,month_yr,percent
2063,2019.0,CA,CDF,SLU,MCMILLIAN,00007684,2019-06-12 07:00:00,6/12/2019 7:00:00 AM,2,1.0,1.0,1763.821,Harrow Bed Striking a Rock,,{ECE6470F-193E-4DCF-9AE9-DBD792AD7913},,,2010-2019,10840202.4609375,19800.6714623617,2019-06,108.27692307692308
2065,2019.0,CA,CDF,SLU,BOULDER,00007315,2019-06-05 07:00:00,6/5/2019 7:00:00 AM,11,6.0,1.0,1110.843,Bird into powerline,,{C2B85F5F-CB24-4BF2-8480-CD2D8375AD87},,,2010-2019,6767755.3203125,20338.2759374156,2019-06,108.27692307692308
2070,2019.0,CA,CDF,SLU,BELMONT,00007006,2019-05-29 07:00:00,5/29/2019 7:00:00 AM,1,6.0,1.0,832.636,,,{133730BD-7AEA-4DC7-8CD9-D260D3509F84},,,2010-2019,5070249.04296875,9799.50165861396,2019-05,125.39344262295081
2078,2019.0,CA,CDF,RRU,LINCOLN,00034071,2019-03-15 07:00:00,3/20/2019 7:00:00 AM,7,6.0,1.0,564.2154,,,{09A04988-ECBF-4567-86DA-284F62F5B950},,,2010-2019,3294942.83203125,9040.1611246544,2019-03,171.73170731707316
2081,2019.0,CA,CDF,RRU,JERRY,00079226,2019-06-21 07:00:00,6/21/2019 7:00:00 AM,10,6.0,1.0,521.9408,,,{176CFAFF-F55F-4544-82FA-912220223AF0},,,2010-2019,3075381.3828125,11739.3984374484,2019-06,108.27692307692308
2158,2019.0,CA,CDF,SLU,BITTER,00007568,2019-06-10 07:00:00,6/10/2019 7:00:00 AM,10,6.0,1.0,73.93117,,,{A1BD8B0F-CF05-4CC6-A44F-2DF57FDB4AEA},,,2010-2019,453390.203125,5381.84060245064,2019-06,108.27692307692308
2186,2019.0,CA,CDF,SLU,TOPAZ,00008211,2019-06-23 07:00:00,6/23/2019 7:00:00 AM,2,1.0,1.0,47.8895,Electrical,,,,,2010-2019,292175.39453125,2348.38315065025,2019-06,108.27692307692308
2195,2019.0,CA,CDF,SLU,TRACY,00006901,2019-05-27 07:00:00,5/27/2019 7:00:00 AM,2,6.0,1.0,38.42611,Electrical Power,,,,,2010-2019,234426.73046875,1962.1233120954,2019-05,125.39344262295081
2212,2019.0,CA,CDF,MVU,GASOLINE,00007586,2019-05-29 07:00:00,5/30/2019 7:00:00 AM,14,1.0,1.0,29.53726,,,,,,2010-2019,169093.51953125,2252.18383504323,2019-05,125.39344262295081
2218,2019.0,CA,CDF,MVU,OTAY 11,00009151,2019-06-29 07:00:00,6/30/2019 7:00:00 AM,14,1.0,1.0,27.51976,,,{8D7A370B-9451-4F14-BDEE-8E74C2FA39EE},,,2010-2019,157390.1640625,1697.84602791527,2019-06,108.27692307692308
2231,2019.0,CA,CDF,MVU,BORDER,00006784,2019-05-13 07:00:00,5/19/2019 7:00:00 AM,5,1.0,1.0,23.3554,17.5 on the US side 5.8 on the Mexico side,,,,,2010-2019,133420.37890625,2590.48549167107,2019-05,125.39344262295081
2239,2019.0,CA,CDF,MVU,PAUMA 4,00008223,2019-06-10 07:00:00,6/24/2019 7:00:00 AM,9,1.0,1.0,22.0214,,,{AD0BBA0E-1450-4022-9E7C-6F61C3DF21A0},,,2010-2019,127906.6328125,1783.64002629149,2019-06,108.27692307692308
