site,date,latitude,longitude,fuel,percent
bitter_canyon_castaic,1992-01-17,34.51,-118.59444444444445,chamise,68.0
bitter_canyon_castaic,1992-01-31,34.51,-118.59444444444445,chamise,72.0
bitter_canyon_castaic,1992-02-28,34.51,-118.59444444444445,chamise,85.0
bitter_canyon_castaic,1992-03-13,34.51,-118.59444444444445,chamise,98.0
bitter_canyon_castaic,1992-04-10,34.51,-118.59444444444445,chamise,191.0
bitter_canyon_castaic,1992-04-24,34.51,-118.59444444444445,chamise,168.0
bitter_canyon_castaic,1992-05-22,34.51,-118.59444444444445,chamise,112.0
bitter_canyon_castaic,1992-06-12,34.51,-118.59444444444445,chamise,106.0
bitter_canyon_castaic,1992-06-26,34.51,-118.59444444444445,chamise,95.0
bitter_canyon_castaic,1992-07-10,34.51,-118.59444444444445,chamise,86.0
bitter_canyon_castaic,1992-07-24,34.51,-118.59444444444445,chamise,85.0
bitter_canyon_castaic,1992-08-07,34.51,-118.59444444444445,chamise,74.0
bitter_canyon_castaic,1992-08-21,34.51,-118.59444444444445,chamise,81.0
bitter_canyon_castaic,1992-09-04,34.51,-118.59444444444445,chamise,76.0
bitter_canyon_castaic,1992-09-18,34.51,-118.59444444444445,chamise,65.0
bitter_canyon_castaic,1992-10-02,34.51,-118.59444444444445,chamise,65.0
bitter_canyon_castaic,1992-10-16,34.51,-118.59444444444445,chamise,58.0
bitter_canyon_castaic,1992-10-30,34.51,-118.59444444444445,chamise,67.0
bitter_canyon_castaic,1992-11-13,34.51,-118.59444444444445,chamise,71.0
bitter_canyon_castaic,1992-12-24,34.51,-118.59444444444445,chamise,72.0
bitter_canyon_castaic,1997-01-31,34.51,-118.59444444444445,chamise,119.0
bitter_canyon_castaic,1997-02-14,34.51,-118.59444444444445,chamise,121.0
bitter_canyon_castaic,1997-02-28,34.51,-118.59444444444445,chamise,169.0
bitter_canyon_castaic,1997-03-14,34.51,-118.59444444444445,chamise,132.0
bitter_canyon_castaic,1997-03-28,34.51,-118.59444444444445,chamise,120.0
bitter_canyon_castaic,1997-04-11,34.51,-118.59444444444445,chamise,120.0
bitter_canyon_castaic,1997-05-09,34.51,-118.59444444444445,chamise,85.0
bitter_canyon_castaic,1997-05-30,34.51,-118.59444444444445,chamise,76.0
bitter_canyon_castaic,1997-06-13,34.51,-118.59444444444445,chamise,66.0
bitter_canyon_castaic,1997-07-11,34.51,-118.59444444444445,chamise,60.0
bitter_canyon_castaic,1997-07-25,34.51,-118.59444444444445,chamise,60.0
bitter_canyon_castaic,1997-08-08,34.51,-118.59444444444445,chamise,60.0
bitter_canyon_castaic,1997-08-22,34.51,-118.59444444444445,chamise,60.0
bitter_canyon_castaic,1997-09-05,34.51,-118.59444444444445,chamise,60.0
bitter_canyon_castaic,1997-09-19,34.51,-118.59444444444445,chamise,59.0
bitter_canyon_castaic,1997-10-03,34.51,-118.59444444444445,chamise,59.0
bitter_canyon_castaic,1997-10-17,34.51,-118.59444444444445,chamise,59.0
bitter_canyon_castaic,1997-10-31,34.51,-118.59444444444445,chamise,55.0
bitter_canyon_castaic,1997-11-21,34.51,-118.59444444444445,chamise,64.0
bitter_canyon_castaic,1997-12-19,34.51,-118.59444444444445,chamise,72.0
bitter_canyon_castaic,1999-01-08,34.51,-118.59444444444445,chamise,68.0
bitter_canyon_castaic,1999-02-05,34.51,-118.59444444444445,chamise,67.0
bitter_canyon_castaic,1999-02-19,34.51,-118.59444444444445,chamise,71.0
bitter_canyon_castaic,1999-03-05,34.51,-118.59444444444445,chamise,74.0
bitter_canyon_castaic,1999-03-26,34.51,-118.59444444444445,chamise,79.0
bitter_canyon_castaic,1999-04-23,34.51,-118.59444444444445,chamise,95.0
bitter_canyon_castaic,1999-05-07,34.51,-118.59444444444445,chamise,99.0
bitter_canyon_castaic,1999-05-21,34.51,-118.59444444444445,chamise,93.0
